Bioma;Estado;Cenário;Erosão;Bioprospecção;Carbono;PFNM;PFM;Área;Valor;Valores_ha;Valor_pecuaria;Diferenca_pecuaria;Diferenca_pecuaria_ha
FAM;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
MAT;SP;Área prioritária para restauração;4361359746;54333284.43;9439902635;15616565556;0;623356;29472784578;47279.8228;4363492000;25109292578;40279.8228
PAN;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;SP;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CER;TO;Área prioritária para restauração;909444732.7;95233448.85;1246662988;2585236437;0;201148;4836778754;24044.87047;1408036000;3428742754;17044.87047
FAM;TO;Área prioritária para restauração;1827565818;132427179.4;5952818778;3286588112;0;279707;11199679595;40039.75549;1957949000;9241730595;33039.75549
MAT;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
PAN;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
SUL;TO;Área prioritária para restauração;0;0;0;0;0;0;0;;0;0;0
CAA;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;AC;Pastagem Degradada P/ Agricultura;93496330.79;2303347.61;389764569.7;226941631.1;0;19314;712525193.1;36890.64301;135198000;577327193.1;29890.64301
MAT;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
PAN;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;AC;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;AL;Pastagem Degradada P/ Agricultura;22144713.19;502098.3717;18084891.84;55049507.77;0;4599;95785810.17;20826.52994;32193000;63592810.17;13826.52994
CER;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
MAT;AL;Pastagem Degradada P/ Agricultura;234846748;994693.8053;650561428.6;1134999106;0;45305;2021447281;44617.63549;317135000;1704312281;37617.63549
PAN;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
SUL;AL;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CAA;AM;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
CER;AM;Pastagem Degradada P/ Agricultura;0;0;0;0;0;0;0;;0;0;0
FAM;AM;Pastagem Degradada P/ Agricultura;9454195.611;232910.7323;39412353.97;22947965.49;0;1953;72049378.8;36890.64301;13671000;58378378.8;29890.64301
